1,1,2,49,210000, 2020-07-28  12:00:00, 2020-07-28  12:00:02,1
2,1,2,50,210000, 2020-07-28  12:00:01, 2020-07-28  12:00:03,1
3,1,2,51,210000, 2020-07-28  12:00:02, 2020-07-28  12:00:04,1
4,1,2,52,210000, 2020-07-28  12:00:03, 2020-07-28  12:00:05,1
5,1,2,53,210000, 2020-07-28  12:00:04, 2020-07-28  12:00:06,1
6,1,1,54,210000, 2020-07-28  12:00:05, 2020-07-28  12:00:07,2
7,1,1,55,210000, 2020-07-28  12:00:06, 2020-07-28  12:00:08,2
8,1,1,56,210000, 2020-07-28  12:00:07, 2020-07-28  12:00:09,2
9,1,1,57,210000, 2020-07-28  12:00:08, 2020-07-28  12:00:10,2
10,1,1,58,210000, 2020-07-28  12:00:09, 2020-07-28  12:00:11,2
11,1,1,59,210000, 2020-07-28  12:00:10, 2020-07-28  12:00:12,3
12,1,1,60,210000, 2020-07-28  12:00:11, 2020-07-28  12:00:13,3
13,1,3,61,210000, 2020-07-28  12:00:12, 2020-07-28  12:00:14,3
14,1,3,62,210000, 2020-07-28  12:00:13, 2020-07-28  12:00:15,3
15,1,3,63,210000, 2020-07-28  12:00:14, 2020-07-28  12:00:16,3
16,1,3,64,210000, 2020-07-28  12:00:15, 2020-07-28  12:00:17,2
17,1,3,65,210000, 2020-07-28  12:00:16, 2020-07-28  12:00:18,2
18,1,3,66,210000, 2020-07-28  12:00:17, 2020-07-28  12:00:19,2
19,1,3,67,210000, 2020-07-28  12:00:18, 2020-07-28  12:00:20,1
20,1,3,68,210000, 2020-07-28  12:00:19, 2020-07-28  12:00:21,1
21,1,4,69,210000, 2020-07-28  12:00:20, 2020-07-28  12:00:22,2
22,1,4,70,210000, 2020-07-28  12:00:21, 2020-07-28  12:00:23,2
23,1,4,71,210000, 2020-07-28  12:00:22, 2020-07-28  12:00:24,3
24,1,4,72,210000, 2020-07-28  12:00:23, 2020-07-28  12:00:25,3
25,1,4,73,210000, 2020-07-28  12:00:24, 2020-07-28  12:00:26,2
26,1,4,74,210000, 2020-07-28  12:00:25, 2020-07-28  12:00:27,1
27,1,1,75,210000, 2020-07-28  12:00:26, 2020-07-28  12:00:28,1
28,1,1,76,210000, 2020-07-28  12:00:27, 2020-07-28  12:00:29,1
29,1,1,77,210000, 2020-07-28  12:00:28, 2020-07-28  12:00:30,2
30,1,1,78,210000, 2020-07-28  12:00:29, 2020-07-28  12:00:31,3
