4,nhanvien3,nhanvien,2020-07-04 12:00:00,1,2
5,nhanvien4,nhanvien,2020-07-05 12:00:00,1,2
6,nhanvien5,nhanvien,2020-07-06 12:00:00,1,2
7,nhanvien6,nhanvien,2020-07-07 12:00:00,1,2
8,nhanvien7,nhanvien,2020-07-08 12:00:00,1,2
9,nhanvien8,nhanvien,2020-07-09 12:00:00,1,2
10,nhanvien9,nhanvien,2020-07-10 12:00:00,1,2
11,nhanvien10,nhanvien,2020-07-11 12:00:00,1,2
12,nhanvien11,nhanvien,2020-07-12 12:00:00,1,2
13,nhanvien12,nhanvien,2020-07-13 12:00:00,1,2
14,nhanvien13,nhanvien,2020-07-14 12:00:00,1,2
15,nhanvien14,nhanvien,2020-07-15 12:00:00,1,2
16,nhanvien15,nhanvien,2020-07-16 12:00:00,1,2
17,nhanvien16,nhanvien,2020-07-17 12:00:00,1,2
18,nhanvien17,nhanvien,2020-07-18 12:00:00,1,2
19,nhanvien18,nhanvien,2020-07-19 12:00:00,1,2
20,nhanvien19,nhanvien,2020-07-20 12:00:00,1,2
21,nhanvien20,nhanvien,2020-07-21 12:00:00,1,2
22,nhanvien21,nhanvien,2020-07-22 12:00:00,1,2
23,nhanvien22,nhanvien,2020-07-23 12:00:00,1,2
24,nhanvien23,nhanvien,2020-07-24 12:00:00,1,2
25,nhanvien24,nhanvien,2020-07-25 12:00:00,1,2
26,nhanvien25,nhanvien,2020-07-26 12:00:00,1,2
27,nhanvien26,nhanvien,2020-07-27 12:00:00,1,2
28,nhanvien27,nhanvien,2020-07-28 12:00:00,1,2
29,nhanvien28,nhanvien,2020-07-29 12:00:00,1,2
30,nhanvien29,nhanvien,2020-07-30 12:00:00,1,2
31,nhanvien30,nhanvien,2020-07-31 12:00:00,1,2
32,nhanvien31,nhanvien,2020-08-01 12:00:00,1,2
33,nhanvien32,nhanvien,2020-08-02 12:00:00,1,2
34,nhanvien33,nhanvien,2020-08-03 12:00:00,1,2
35,nhanvien34,nhanvien,2020-08-04 12:00:00,1,2
36,nhanvien35,nhanvien,2020-08-05 12:00:00,1,2
37,nhanvien36,nhanvien,2020-08-06 12:00:00,1,2
38,nhanvien37,nhanvien,2020-08-07 12:00:00,1,2
39,nhanvien38,nhanvien,2020-08-08 12:00:00,1,2
40,khachhang1,khachhang,2020-08-09 12:00:00,1,3
41,khachhang2,khachhang,2020-08-10 12:00:00,1,3
42,khachhang3,khachhang,2020-08-11 12:00:00,1,3
43,khachhang4,khachhang,2020-08-12 12:00:00,1,3
44,khachhang5,khachhang,2020-08-13 12:00:00,1,3
45,khachhang6,khachhang,2020-08-14 12:00:00,1,3
46,khachhang7,khachhang,2020-08-15 12:00:00,1,3
47,khachhang8,khachhang,2020-08-16 12:00:00,1,3
48,khachhang9,khachhang,2020-08-17 12:00:00,1,3
49,khachhang10,khachhang,2020-08-18 12:00:00,1,3
50,khachhang11,khachhang,2020-08-19 12:00:00,1,3
51,khachhang12,khachhang,2020-08-20 12:00:00,1,3
52,khachhang13,khachhang,2020-08-21 12:00:00,1,3
53,khachhang14,khachhang,2020-08-22 12:00:00,1,3
54,khachhang15,khachhang,2020-08-23 12:00:00,1,3
55,khachhang16,khachhang,2020-08-24 12:00:00,1,3
56,khachhang17,khachhang,2020-08-25 12:00:00,1,3
57,khachhang18,khachhang,2020-08-26 12:00:00,1,3
58,khachhang19,khachhang,2020-08-27 12:00:00,1,3
59,khachhang20,khachhang,2020-08-28 12:00:00,1,3
60,khachhang21,khachhang,2020-08-29 12:00:00,1,3
61,khachhang22,khachhang,2020-08-30 12:00:00,1,3
62,khachhang23,khachhang,2020-08-31 12:00:00,1,3
63,khachhang24,khachhang,2020-09-01 12:00:00,1,3
64,khachhang25,khachhang,2020-09-02 12:00:00,1,3
65,khachhang26,khachhang,2020-09-03 12:00:00,1,3
66,khachhang27,khachhang,2020-09-04 12:00:00,1,3
67,khachhang28,khachhang,2020-09-05 12:00:00,1,3
68,khachhang29,khachhang,2020-09-06 12:00:00,1,3
69,khachhang30,khachhang,2020-09-07 12:00:00,1,3
70,khachhang31,khachhang,2020-09-08 12:00:00,1,3
71,khachhang32,khachhang,2020-09-09 12:00:00,1,3
72,khachhang33,khachhang,2020-09-10 12:00:00,1,3
73,khachhang34,khachhang,2020-09-11 12:00:00,1,3
74,khachhang35,khachhang,2020-09-12 12:00:00,1,3
75,khachhang36,khachhang,2020-09-13 12:00:00,1,3
76,khachhang37,khachhang,2020-09-14 12:00:00,1,3
77,khachhang38,khachhang,2020-09-15 12:00:00,1,3
78,khachhang39,khachhang,2020-09-16 12:00:00,1,3
79,khachhang40,khachhang,2020-09-17 12:00:00,1,3
80,khachhang41,khachhang,2020-09-18 12:00:00,1,3
81,khachhang42,khachhang,2020-09-19 12:00:00,1,3
82,khachhang43,khachhang,2020-09-20 12:00:00,1,3
83,khachhang44,khachhang,2020-09-21 12:00:00,1,3
84,khachhang45,khachhang,2020-09-22 12:00:00,1,3
85,khachhang46,khachhang,2020-09-23 12:00:00,1,3
86,khachhang47,khachhang,2020-09-24 12:00:00,1,3
